LncRNA,F1:RiskSNP,F2:commonSNP,F5:TF(motif),F55:miRNA,F56:mRNA,F57:Protein,F58:Hallmark,F3:TF(ChIP-seq),F4:Core TF(ChIP-seq),F8:Histone modification,F9:ATAC-seq peak of cistrome & gene_mapper,F10:DHS & gene_mapper,F11:ATAC of cistrome & DHS & gene_mapper,F13:Element number of SE & gene_mapper,F14:Case ChIP signal of SE & gene_mapper,F15:Normalized rank of SE & gene_mapper,F17:Element number of TE & gene_mapper,F18:Case ChIP signal of TE & gene_mapper,F19:Normalized rank of TE & gene_mapper,F20:Element number of TE/SE & gene_mapper,F21:Case ChIP signal of TE/SE & gene_mapper,F22:Normalized rank of TE/SE & gene_mapper,F6:Methylation site,F7:Methylation value,F12:SE & gene_mapper,F16:TE & gene_mapper,F24:Global chromatin interaction,F25:SE/TE & interaction,F26:SE & interaction,F27:TE & interaction,F40:SE/TE & interaction & gene_mapper,F41:SE & interaction & gene_mapper,F42:TE & interaction & gene_mapper,F28:Element number of SE/TE & interaction,F29:Case ChIP signal of SE/TE & interaction,F30:Normalized rank of SE/TE & interaction,F31:Element number of SE & interaction,F32:Case ChIP signal of SE & interaction,F33:Normalized rank of SE & interaction,F34:Element number of TE & interaction,F35:Case ChIP signal of TE & interaction,F36:Normalized rank of TE & interaction,F43:Element number of SE/TE & interaction & gene_mapper,F44:Case ChIP signal of SE/TE & interaction & gene_mapper,F45:Normalized rank of SE/TE & interaction & gene_mapper,F46:Element number of SE & interaction & gene_mapper,F47:Case ChIP signal of SE & interaction & gene_mapper,F48:Normalized rank of SE & interaction & gene_mapper,F49:Element number of TE & interaction & gene_mapper,F50:Case ChIP signal of TE & interaction & gene_mapper,F51:Normalized rank of TE & interaction & gene_mapper,F37:ATAC-seq peak of cistrome & interaction,F39:DHS & interaction,F52:ATAC-seq peak of cistrome & interaction & gene_mapper,F53:DHS & interaction & gene_mapper,F23:ATAC of cistrome & ATAC of ATACdb & gene_mapper,F38:ATAC of ATACdb & interaction,F54:ATAC of ATACdb & interaction & gene_mapper
CTA-398F10.1,3,67,35,0,0,0,0,21,8,1,29,51,80,8,37905.62533,592,2,4868.939036,14128,2,0,22378,1,9.06,3,28,2,12,0,12,0,10,10,2.5,9873.992486,17022.5,0,0,0,2.5,9873.992486,17022.5,2,6704.66014,16442,0,0,0,2,6704.66014,16442,3,3,3,3,8,7,7
CTA-398F10.2,0,86,31,0,0,0,0,15,2,2,16,35,51,8,37905.62533,592,1,2626.287444,11031,0,0,22897,1,9.18,3,9,2,9,3,6,3,3,6,2,17008.47716,13716,8,37905.62527,589,2,3077.045089,13084,4.5,20256.09545,17927,8,37905.62527,589,2,2606.565633,13027,2,9,1,6,1,1,1
CTA-407F11.7,0,78,20,0,0,96,0,6,2,2,4,37,41,0,0,0,1,1725.039543,7657,0,0,22897,0,0,0,14,15,32,2,30,0,0,0,2,11351.16579,15581,12.5,43013.2971,509,1,6480.068664,14118,0,0,0,0,0,0,0,0,0,12,19,0,0,4,6,0
CTA-407F11.8,0,64,106,0,0,0,0,23,5,5,1,16,17,0,0,0,1,1420.628578,7546,1,0,7126,7,3.817222,0,9,10,28,2,26,0,0,0,1,7557.713855,14794,12.5,43013.2971,509,1,4663.380529,13961,0,0,0,0,0,0,0,0,0,13,39,0,0,4,11,0
CTA-445C9.14,0,54,32,4,0,0,0,27,6,4,12,58,70,2,24364.427,191,1,3324.440108,15673,0,0,22897,4,5.427,1,25,9,20,1,19,1,10,11,2,6365.888354,16452,2,24364.4274,188,2,4817.626931,16452,2,7144.923745,16923,2,24364.4274,188,2,5422.97338,16659,8,14,1,3,11,19,7
CTA-481E9.3,0,34,31,0,0,0,0,1,0,0,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
CTA-481E9.4,0,40,20,0,0,0,0,0,0,0,2,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
CTA-503F6.2,0,50,28,0,0,167,0,18,5,3,2,35,37,0,0,0,1.5,2175.3099,8751,0,0,22897,0,0,0,4,25,21,0,21,0,2,2,1,3245.585129,9798,0,0,0,1,3245.585129,9798,2.5,3866.82825,10399.5,0,0,0,2.5,3866.82825,10399.5,8,54,1,11,3,11,1
CTA-520D8.2,0,62,57,0,0,0,0,20,4,0,20,87,107,0,0,0,1,2674.663196,10671,0,0,22897,1,7.92,0,26,2,2,0,2,0,2,2,1.5,5408.13395,14029,0,0,0,1.5,5408.13395,14029,1.5,5408.13395,13972,0,0,0,1.5,5408.13395,13972,1,9,1,6,12,9,0
CTA-714B7.7,1,47,21,0,0,147,0,11,1,0,7,27,34,0,0,0,1,768.953625,7840,0,0,22897,0,0,0,4,9,7,0,7,0,0,0,1,3765.231586,10996,0,0,0,1,3765.231586,10996,0,0,0,0,0,0,0,0,0,9,21,5,10,8,1,1
CTA-747E2.10,0,54,43,0,0,0,0,15,4,0,10,41,51,0,0,0,1,4838.88392,11560,0,0,22897,0,0,0,10,5,42,4,38,0,6,6,1,9378.340822,17188,4,35077.5915,810,1,6476.812519,16695.5,1,4896.454883,10783,0,0,0,1,4896.454883,10783,11,23,3,5,7,28,7
CTA-796E4.3,0,59,100,0,0,0,0,0,0,0,1,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTA-796E4.4,1,40,39,0,0,113,0,11,1,0,0,14,0,0,0,0,0,0,0,0,0,0,6,6.824444,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0
CTA-797E19.1,1,60,24,0,0,0,0,4,1,4,4,45,49,0,0,0,1,4148.780623,14396,1,0,15728,2,8.94,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
CTA-797E19.2,1,47,25,0,0,155,0,6,1,3,1,44,45,0,0,0,1.5,4567.8998,13317.5,0,0,22897,2,8.305,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTA-833B7.2,0,53,20,0,0,0,0,21,4,2,5,40,45,0,0,0,1,503.9984,6193.5,0,0,22897,1,3.51,0,2,8,42,13,29,0,0,0,4,41273.7695,22365,5,70156.07203,907,2,13019.34312,18480,0,0,0,0,0,0,0,0,0,15,33,0,0,0,10,0
CTA-85E5.10,0,46,41,0,0,0,0,21,4,1,13,37,50,0,0,0,1,1297.76278,7813,0,0,22897,13,9.389737,0,10,3,5,0,5,0,0,0,1,3647.88062,7378,0,0,0,1,3647.88062,7378,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0
CTA-929C8.5,1,86,47,0,0,131,0,6,1,0,3,35,38,0,0,0,1.5,2514.86445,9009.5,0,0,22897,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CTA-929C8.6,0,74,53,0,0,0,0,4,0,0,3,30,33,0,0,0,1,1985.217,8159,1,0,8159,0,0,0,1,26,39,0,39,0,0,0,1,3409.123493,12914,0,0,0,1,3409.123493,12914,0,0,0,0,0,0,0,0,0,16,65,0,0,0,20,0
CTA-929C8.7,1,76,16,0,0,173,0,6,1,0,3,28,31,0,0,0,1,1985.217,8159,1,0,8159,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTA-929C8.8,0,79,30,0,0,0,0,4,1,0,4,32,36,0,0,0,1,1985.217,8159,1,0,8159,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTA-941F9.9,1,66,145,0,0,0,1,19,5,3,16,59,75,0,0,0,1,5164.528974,15810.5,0,0,22897,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTA-972D3.2,0,88,56,0,0,298,0,3,0,4,19,71,90,0,0,0,2,6605.845685,16371,0,0,22897,2,8.386667,0,46,2,5,0,5,0,5,5,2,7567.634,15670,0,0,0,2,7567.634,15670,2,7567.634,15613,0,0,0,2,7567.634,15613,0,8,0,3,22,0,0
CTA-984G1.5,1,70,33,0,0,0,0,4,1,2,11,47,58,1,37811.6225,496.5,1,8068.413423,17523.5,0,0,22897,2,8.38,2,26,1,11,0,11,0,11,11,1,4786.336809,16303,0,0,0,1,4786.336809,16303,1,4786.336809,16246,0,0,0,1,4786.336809,16246,2,3,2,3,15,5,5
CTA-992D9.6,0,55,7,0,0,100,0,0,0,0,1,36,37,0,0,0,2,7505.2391,16756,0,0,22897,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CTA-992D9.7,0,79,15,0,0,168,0,17,4,2,4,37,41,0,0,0,2,3529.493431,14791,2,0,17829,0,0,0,13,20,13,0,13,0,7,7,2,3455.257393,11115,0,0,0,2,3455.257393,11115,2,5619.577686,16839,0,0,0,2,5619.577686,16839,6,41,2,8,6,7,5
CTB-102L5.7,0,43,62,2,0,0,0,3,1,1,10,52,62,0,0,0,1,1533.15604,9635,1,0,9635,0,0,0,5,10,40,5,35,0,0,0,3,18618.13465,19876,12,47575.75692,694,2,11171.88892,19147,0,0,0,0,0,0,0,0,0,16,19,0,0,15,27,0
CTB-102L5.8,0,54,84,0,0,0,0,2,0,2,11,49,60,0,0,0,1,3972.314425,9046.5,0,0,22897,8,8.739167,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
CTB-105L4.2,0,35,13,0,0,0,0,3,1,0,6,8,14,0,0,0,1,2037.807575,11235,0,0,22897,1,2.66,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
CTB-107G13.1,0,56,18,0,0,0,0,4,1,1,15,146,161,0,0,0,1,6198.259063,11788,0,0,22897,10,7.027241,0,8,1,12,0,12,0,0,0,2,9904.381192,20495,0,0,0,2,9904.381192,20495,0,0,0,0,0,0,0,0,0,3,3,0,0,20,7,0
CTB-108O6.2,3,53,9,0,0,0,0,17,4,0,25,46,71,0,0,0,1,4082.604556,8901.5,0,0,22897,1,6.896667,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
CTB-109A12.1,2,44,109,0,0,0,0,28,9,3,6,30,36,0,0,0,1,5721.012175,13752.5,0,0,22897,13,7.518,0,8,41,57,0,57,0,8,8,1,5418.183401,13893.5,0,0,0,1,5418.183401,13893.5,2,7029.149083,14895.5,0,0,0,2,7029.149083,14895.5,24,40,3,8,21,57,10
CTB-111F10.1,3,43,17,0,0,0,0,1,0,0,10,45,55,0,0,0,1,2039.468206,12612,1,0,2901,0,0,0,17,1,1,0,1,0,0,0,1,1102.4853,4930,0,0,0,1,1102.4853,4930,0,0,0,0,0,0,0,0,0,1,4,0,0,3,8,0
CTB-111H14.1,0,48,7,0,0,0,0,26,7,4,7,47,54,1,27013.306,306,1,2101.345757,8949,0,0,22897,1,8.89,1,7,9,26,0,26,0,1,1,1,7298.792808,17877,0,0,0,1,7298.792808,17877,1,3265.476,12526,0,0,0,1,3265.476,12526,16,23,2,3,4,42,4
CTB-113D17.1,1,55,7,0,0,0,0,2,1,0,10,30,40,0,0,0,1,2849.830233,9546,1,0,9546,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
CTB-113I20.2,1,39,27,0,0,0,0,22,5,6,33,70,103,3,78264.72267,735,1,5740.937593,16089.5,1,0,22521,4,7.49,3,30,7,31,3,28,3,13,16,1,14902.81467,16102,27,112720.574,1061,1,5121.038728,16092,1,17286.40202,15577.5,27,112720.574,1061,1,3652.948871,15249,9,16,7,10,30,23,9
CTB-113P19.1,0,47,19,0,0,0,0,6,1,1,9,39,48,0,0,0,1,3940.823257,12811,1,0,7184,4,8.414167,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
CTB-113P19.3,0,32,49,0,0,0,0,27,6,4,16,35,51,3.5,27984.8775,433.5,2,9753.735392,19414,2,0,19079,1,8.07,4,13,5,11,4,7,4,6,10,4,20885.83836,21854,3.5,27984.87753,430.5,4,16517.19887,21752,4,21870.49542,21857.5,3.5,27984.87753,430.5,4,17794.24068,21746,6,19,2,3,43,31,8
CTB-113P19.4,0,65,37,0,0,0,0,18,2,1,8,48,56,0,0,0,1,4088.6579,8804,0,0,22897,2,6.306,0,8,3,9,3,6,0,0,0,4,22306.01691,21975,4,29796.16303,499,4,18560.94385,21803,0,0,0,0,0,0,0,0,0,7,14,0,0,31,16,0
CTB-113P19.5,0,53,40,0,0,0,0,3,0,0,18,40,58,3.5,27984.8775,433.5,2,9244.514506,19258.5,0,0,22897,0,0,4,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,52,1,0
CTB-114C7.3,2,39,18,0,0,0,0,14,4,2,5,26,31,0,0,0,1,12041.2562,21279,1,0,21279,5,6.745,0,3,21,3,0,3,0,2,2,2,17652.09979,21457,0,0,0,2,17652.09979,21457,2,18616.10427,21400,0,0,0,2,18616.10427,21400,4,15,4,6,4,7,3
CTB-114C7.4,3,44,6,0,0,0,0,3,0,1,4,30,34,0,0,0,1,9105.94695,10760.5,0,0,22897,0,0,0,4,33,5,0,5,0,4,4,2,15451.93198,21457,0,0,0,2,15451.93198,21457,2,15608.73875,21400,0,0,0,2,15608.73875,21400,4,21,3,13,8,10,7
CTB-118N6.2,0,58,52,0,0,0,0,29,7,3,18,28,46,3,32207.002,490,1,3982.550162,10460,0,0,22897,9,8.047,1,13,19,8,1,7,1,6,7,3,16749.58205,18905,3,32207.0022,487,2,6048.291177,16876,3,17462.27603,18848,3,32207.0022,487,3,6403.7314,17833.5,8,8,5,4,14,9,0
CTB-118N6.3,0,57,23,0,0,0,0,7,1,0,4,18,22,0,0,0,1,369.0648,5159,1,0,5159,10,8.923448,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
CTB-118P15.2,2,49,20,0,0,0,0,8,2,0,1,12,13,0,0,0,1,1701.41952,6396,1,0,5587,2,6.525,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
CTB-11I22.1,0,45,36,0,0,0,0,34,8,6,12,20,32,0,0,0,1,5986.234847,17406,1,0,20524,2,8.56,0,17,8,17,0,17,0,6,6,2,7352.212137,19193,0,0,0,2,7352.212137,19193,2,8447.066608,20405,0,0,0,2,8447.066608,20405,4,7,2,2,24,9,2
CTB-11I22.2,0,49,45,0,0,0,0,15,4,1,13,23,36,0,0,0,1,5584.422093,17837.5,0,0,22897,1,8.276667,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
CTB-120L21.1,2,41,52,0,0,0,0,17,4,1,18,33,51,4,61350.382,983,1,3675.102793,15466.5,1,0,18706,0,0,1,14,1,11,0,11,0,11,11,1,3955.422018,15792,0,0,0,1,3955.422018,15792,1,3955.422018,15735,0,0,0,1,3955.422018,15735,3,3,3,3,32,11,11
CTB-127C13.1,0,72,60,0,0,208,0,17,6,2,26,72,98,0,0,0,1,3824.402228,14346,0,0,22897,0,0,0,40,3,23,0,23,0,12,12,1,3129.892839,14307,0,0,0,1,3129.892839,14307,1,3260.073317,14227,0,0,0,1,3260.073317,14227,7,10,3,5,29,28,0
CTB-129O4.1,0,48,69,0,0,0,0,29,6,5,15,102,117,0,0,0,1,2682.609431,10854,0,0,22897,3,8.592857,0,26,9,49,6,43,0,0,0,4,26856.16132,21088,10,59088.70122,937,2,11175.46623,20104,0,0,0,0,0,0,0,0,0,26,39,0,4,21,56,0
CTB-129P6.4,21,66,100,0,0,0,0,30,6,6,29,99,128,10,53028.12,717,1,7403.870974,19174.5,1,0,20161,2,6.745,1,46,28,146,17,129,1,35,36,3,22455.56162,21417,6,65895.54281,659,2,10367.91468,20338.5,1,9233.128051,18648,10,53028.12,714,1,8422.109681,18510,52,95,11,22,30,87,8
CTB-12A17.3,0,78,58,0,0,0,0,20,5,3,13,64,77,0,0,0,1,7832.147189,20260,0,0,22897,4,8.5975,0,18,26,77,4,73,0,14,14,1,8518.64807,18255,4,35551.82948,515.5,1,6940.068134,18150,1,9412.422907,20376,0,0,0,1,9412.422907,20376,25,55,7,15,10,29,9
CTB-12O2.1,1,51,21,0,0,0,0,2,1,0,3,43,46,0,0,0,1.5,1220.171775,7294.5,0,0,22897,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
CTB-131B5.2,0,31,25,2,0,0,0,11,2,4,29,46,75,4.5,39351.0795,480,1,7159.102067,16623,0,0,22897,1,9.203333,2,30,15,27,0,27,0,12,12,2,11607.76348,19928,0,0,0,2,11607.76348,19928,2,11516.52743,19753,0,0,0,2,11516.52743,19753,13,22,4,5,30,36,13
CTB-131B5.5,0,34,66,0,0,0,0,23,7,3,20,31,51,0,0,0,1,8947.829643,17924.5,0,0,22897,4,8.74,0,30,4,3,0,3,0,0,0,1,622.0184667,4762,0,0,0,1,622.0184667,4762,0,0,0,0,0,0,0,0,0,2,6,0,0,40,7,0
CTB-131K11.1,1,45,138,0,0,0,0,26,6,5,8,27,35,0,0,0,2,5868.141232,14806,2,0,21100,0,0,0,25,15,108,20,88,0,11,11,2,21588.99867,21488,4,48294.49436,713,2,11740.16338,20331,2,10479.80872,20274,0,0,0,2,10479.80872,20274,43,61,4,7,5,34,3
CTB-133G6.2,0,77,47,0,0,0,0,22,4,6,18,71,89,0,0,0,2,4421.313232,13390,0,0,22897,5,6.427273,0,28,9,63,0,63,0,7,7,1,4575.506793,15009,0,0,0,1,4575.506793,15009,1,1908.7456,10221,0,0,0,1,1908.7456,10221,22,38,4,8,1,25,0
CTB-134F13.1,0,37,47,0,0,216,0,3,1,3,5,32,37,0,0,0,1,3419.94629,14524.5,0,0,22897,3,8.76,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
CTB-138E5.1,0,94,8,0,0,0,0,4,1,1,11,39,50,0,0,0,1,994.4919,7834,0,0,22897,11,7.750909,0,6,1,12,0,12,0,0,0,1,6085.407317,17291,0,0,0,1,6085.407317,17291,0,0,0,0,0,0,0,0,0,3,6,0,0,32,9,0
CTB-13F3.1,1,60,21,0,0,0,0,6,2,2,20,34,54,0,0,0,1,4193.50778,15159,0,0,22897,4,8.726,0,20,26,61,1,60,0,16,16,1,6815.346358,16927.5,4,24798.219,88,1,6033.48233,16778,1,4986.384513,16263,0,0,0,1,4986.384513,16263,30,37,8,10,0,54,0
CTB-13L3.1,0,73,31,0,0,0,0,32,6,2,16,25,41,3,36985.58,414,1,2848.18039,13480,1,0,16199,1,5.986667,1,10,10,50,0,50,0,0,0,1,5744.818879,15765,0,0,0,1,5744.818879,15765,0,0,0,0,0,0,0,0,0,20,24,0,0,20,58,0
CTB-140J7.2,2,65,72,0,0,0,0,25,6,3,24,44,68,6,35641.59,541,1,3322.5754,8945,0,0,22897,15,8.034545,1,11,52,82,2,80,1,8,9,2,11760.92779,18141,6,36340.40133,538,1,6398.133561,16802,5,18988.59227,20432,6,35641.59,538,2,7886.593788,14779,41,60,17,23,25,73,12
CTB-147C13.1,0,64,46,0,0,140,0,8,3,1,2,43,45,0,0,0,1,5154.01548,13534,1,0,20118,1,8.44,0,5,8,2,0,2,0,1,1,2,15878.98958,21457,0,0,0,2,15878.98958,21457,1,5994.2943,16623,0,0,0,1,5994.2943,16623,1,1,0,0,13,3,3
CTB-147C22.8,0,82,68,0,0,0,0,8,4,2,12,48,60,5,33483.13267,707,1,5221.394933,17636,1,0,19351,2,6.96,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
CTB-147C22.9,0,62,225,0,0,0,0,11,3,3,13,45,58,5,33483.13267,707,1,5885.91405,18363.5,1,0,19467,5,7.030769,3,28,4,30,3,27,3,15,18,2,10072.0594,19289,5,33483.13247,704,1,6908.400883,19051,2,9976.177785,20448,5,33483.13247,704,1.5,7037.80845,19113,9,9,3,5,31,18,2
CTB-151G24.1,0,77,7,0,0,0,0,1,0,0,0,1,0,0,0,0,1,945.6222,8370.5,0,0,22897,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTB-152G17.6,1,37,19,0,0,0,0,5,1,3,1,45,46,0,0,0,1,1901.49615,8448.5,0,0,22897,4,8.820833,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTB-158E9.1,3,53,28,0,0,0,0,3,1,0,9,59,68,0,0,0,1,2406.315236,11643,1,0,4948,7,7.661905,0,11,1,12,1,11,0,0,0,1.5,15996.51778,21610,1,29699.208,466,2,14750.81867,21537,0,0,0,0,0,0,0,0,0,5,6,0,0,29,11,0
CTB-161C1.1,0,61,229,0,0,0,0,32,7,4,40,76,116,4,42311.36743,697,2,11540.17,20341.5,2,0,19230,3,6.326667,7,32,22,64,19,45,7,32,39,2,31951.97588,22362,2,51308.56439,930.5,2,11753.79656,19376,4,22870.221,21646,5,44193.18447,694,2,15529.52866,20855,35,54,22,26,39,32,27
CTB-161K23.1,0,29,43,0,0,0,0,31,6,5,16,34,50,3,34895.88,610,1,5500.245543,16911,1,0,19496,5,5.685,1,30,7,35,0,35,0,0,0,1,8931.414442,18735,0,0,0,1,8931.414442,18735,0,0,0,0,0,0,0,0,0,13,15,0,0,20,35,0
CTB-161M19.4,0,52,24,0,0,0,0,28,5,5,17,34,51,0,0,0,1,3594.550329,14572,1,0,19254,1,2.1,0,31,18,26,0,26,0,17,17,1,3125.39845,13771,0,0,0,1,3125.39845,13771,1,2498.269372,12821,0,0,0,1,2498.269372,12821,12,22,7,11,30,38,12
CTB-164N12.1,0,51,14,0,0,0,0,28,7,2,2,33,35,1,42788.103,663,1,5023.010786,13571,0,0,22897,1,8.94,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
CTB-167B5.1,1,45,25,0,0,0,0,4,1,3,18,45,63,0,0,0,1,3095.038548,11927,1,0,6903,3,8.655556,0,23,17,58,1,57,0,20,20,1,5694.523057,15299.5,3,36985.5801,411,1,4731.721302,15285,2,4537.674528,15257,0,0,0,2,4537.674528,15257,28,33,9,12,30,70,19
CTB-171A8.1,7,66,124,0,0,0,0,29,7,3,48,106,154,4,39720.45567,530,2,8140.53931,18515.5,2,0,18538,0,0,3,42,23,43,13,30,3,16,19,3,28445.2718,21321,4,56685.75896,954,3,12248.52181,20573,3,20190.09413,20563,4,45904.32272,527,3,13761.53698,20516,26,41,16,22,32,21,13
CTB-174D11.1,0,84,8,0,0,154,0,20,5,1,14,103,117,1,30035.803,125,1,5838.41322,10825,0,0,22897,2,7.458333,3,15,8,18,1,17,0,1,1,1,11047.5918,19243,4,34037.556,186,1,8627.595568,17942,9,31412.4076,21645,0,0,0,9,31412.4076,21645,5,11,0,4,13,15,0
CTB-174D11.2,0,60,6,0,0,0,0,17,3,0,6,49,55,5,31121.641,66,1,1071.44788,6799,0,0,22897,2,7.63,1,5,2,1,0,1,0,0,0,2,6036.604,14478,0,0,0,2,6036.604,14478,0,0,0,0,0,0,0,0,0,1,5,0,0,19,5,0
CTB-174O21.2,0,66,68,0,0,0,0,14,2,4,16,34,50,0,0,0,1,5686.50771,16887,1,0,19769,1,8.916667,0,29,9,74,20,54,0,11,11,2,23714.71934,21718,8.5,51607.02687,796,2,12252.1272,20551,1,5105.005273,16552,0,0,0,1,5105.005273,16552,41,59,2,2,3,35,0
CTB-175E5.7,0,30,219,0,0,0,0,20,6,5,19,49,68,5.5,51375.20067,774,2,9371.713963,21008,0,0,22897,8,8.764583,6,16,8,68,8,60,6,6,12,1,17908.12636,20396,6,50468.47989,723.5,1,7488.813234,19565,3.5,30379.84195,21958,5.5,51375.20073,771,2.5,9384.483167,20533.5,17,31,7,9,17,14,2
CTB-175P5.4,0,65,67,1,0,0,0,7,0,1,12,30,42,0,0,0,1,3011.692557,12556,0,0,22897,1,7.603333,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
CTB-176F20.3,0,57,148,0,0,0,0,2,0,0,3,14,17,0,0,0,1,1267.813,8957,0,0,22897,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
CTB-178M22.1,2,68,9,0,0,0,0,1,1,1,16,48,64,0,0,0,2,4530.7132,15215,2,0,15215,3,6.226667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
CTB-178M22.2,2,60,27,0,0,173,0,5,2,1,30,108,138,9,59482.39733,475,1,5957.871207,13441.5,1,0,3074,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
CTB-179K24.3,0,62,42,0,0,0,0,34,8,6,41,66,107,3,54009.89733,602,1,5967.469153,15347.5,1,0,22388,5,7.245333,3,34,26,119,7,112,3,32,35,3,18163.49917,21555,3,52360.72719,599,3,10679.25735,20364,3,18779.65468,21654.5,3,51082.12723,599,3,11812.45472,21498,41,76,14,21,9,90,5
CTB-17P3.4,0,59,30,0,0,0,0,28,8,3,65,146,211,0,0,0,1,2890.847781,11479,1,0,4303,4,6.707778,0,47,19,45,4,41,0,24,24,2,10843.03027,18315,3.5,27984.87753,430.5,2,8072.630708,16653,1,4946.068393,16521,0,0,0,1,4946.068393,16521,33,39,21,19,31,65,0
CTB-180A7.3,0,72,60,0,0,0,0,26,5,5,11,44,55,0,0,0,2,7025.154404,18481,2,0,18481,7,8.26381,0,23,17,93,1,92,0,23,23,2,6935.344863,18366,8,29935.636,19,2,6857.377774,18366,2,7275.366645,18400,0,0,0,2,7275.366645,18400,30,51,7,18,14,56,14
CTB-180A7.6,0,96,104,1,0,0,0,24,6,5,17,53,70,0,0,0,2,6368.813588,18148.5,0,0,22897,2,8.701667,0,34,21,121,6,115,0,34,34,2,8593.583954,18366,5.5,39110.45938,748,2,7412.28555,18312.5,2,6859.7679,18098,0,0,0,2,6859.7679,18098,45,68,10,24,27,91,14
CTB-180C19.1,0,49,25,0,0,0,0,12,4,1,3,4,7,0,0,0,1,2037.807575,11235,0,0,22897,1,3.24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
